Class,Field 1,Field 2,Field 3,Field 4,Field 5,Field 6,Field 7,Field 8,Field 9,Field 10
-1,0.210663,0.00443414,0.00129476,0.000149976,6.58719e-8,9.95866e-6,-5.34818e-9,2.23,1.27,1.28
-1,0.215192,0.00418483,0.0014092,0.000165372,7.98011e-8,1.06887e-5,-2.22795e-9,2.2,1.28,1.28
1,0.197153,0.00230872,0.00154258,4.37876e-5,3.59715e-9,-1.00768e-6,1.07968e-8,2.35,1.28,1.28
-1,0.213199,0.00476317,0.00128168,0.000150531,6.58726e-8,1.03795e-5,-5.70509e-9,0.94,1.24,1.29
-1,0.214412,0.00451095,0.00133774,0.000147106,6.52511e-8,9.88019e-6,-9.47216e-10,1.64,1.29,1.27
1,0.17396,0.000981356,0.000465719,5.32949e-5,8.39081e-9,1.16176e-6,3.05078e-10,1.06,1.2,1.32
-1,0.170914,0.000828114,0.000340428,1.14661e-5,6.6697e-10,2.9973e-7,2.61403e-10,0.34,1.3,1.28
-1,0.172415,0.00118569,0.000294387,1.32757e-5,8.26566e-10,4.48992e-7,7.47474e-11,1.53,1.29,1.29
1,0.167294,0.00128974,0.000217181,3.90377e-6,-1.00466e-10,-1.40168e-7,5.31693e-11,1.53,1.3,1.28
1,0.166425,0.00068694,0.000294499,2.59919e-6,-5.68678e-11,-6.81214e-8,4.40149e-11,0.48,1.27,1.29
-1,0.183924,0.00242419,0.000520858,4.77866e-5,7.53883e-9,2.34958e-6,6.17122e-11,0.51,1.34,1.25
1,0.170237,0.00113689,0.00048949,3.23849e-6,-1.05961e-10,-4.78507e-8,-7.34678e-11,1.81,0.62,1.1
-1,0.177373,0.000902783,0.000503737,2.49761e-5,2.7999e-9,7.48443e-7,9.43501e-11,2.14,0.77,1.23
-1,0.198582,0.00199843,0.00101375,9.05798e-5,2.70278e-8,3.92126e-6,-4.78485e-9,0.85,1.23,1.32
1,0.17469,0.00127562,0.000655344,9.2733e-6,-7.16385e-10,-3.14606e-7,9.69403e-11,1.66,1.24,1.35
-1,0.197524,0.00193614,0.00103263,9.70168e-5,3.02921e-8,4.17339e-6,-5.03272e-9,1.18,1.28,1.33
-1,0.23789,0.00392029,0.00220806,0.000321517,2.36421e-7,1.65033e-5,1.32259e-7,1.95,1.28,1.29
1,0.250564,0.00443871,0.00465149,0.000224965,2.20908e-7,6.82206e-6,-6.44848e-8,2.08,1.28,1.28
-1,0.233826,0.00378633,0.00206821,0.000282408,1.90334e-7,1.43757e-5,1.01763e-7,0.49,1.24,1.27
-1,0.230588,0.00340293,0.00203302,0.000264458,1.71207e-7,1.31564e-5,9.10506e-8,2.35,1.28,1.28
1,0.224248,0.00348552,0.00289382,0.000192688,1.41931e-7,4.51578e-6,-2.36387e-8,2.35,1.28,1.28
